순번,시설명,정원,주소,운영기관,시설규모,최초개관일(준공일),주요프로그램,종사자,연락처
1,솔내청소년수련관,350,전주시 동부대로1079(송천동 2가),(재)쌍백합 청소년육성회,"2,180m2(660평)",2002-02-01,"청소년문화행사, 방과후아카데미, 청소년프로그램 진로직업체험 등",10,063-278-8588
2,완산청소년문화의집,215,전주시 선너머2길 37(중화산동2가),(사)삼동청소년회,976m2(296평),1996-01-01,"청소년문화행사, 방과후아카데미, 청소년프로그램 동아리운영 등",9,063-226-5193
3,전주청소년문화의집,250,전주시 태진로 15-14(태평동),사회복지법인 한기장복지재단,982m2(298평),1999-06-01,"청소년문화행사, 방과후아카데미, 청소년프로그램 동아리운영 등",9,063-273-5501
4,덕진동청소년문화의집,150,전주시 기린대로 541-11(덕진동1가),(사)흥사단,"2,595m2(786평)",2002-03-01,"청소년문화행사, 방과후아카데미, 청소년프로그램 동아리운영 등",10,063-273-7997
5,효자청소년문화의집,294,전주시 우전2길 20(효자동2가),아모스청소년회,478.5m2(145평),2004-10-15,"청소년문화행사, 방과후아카데미, 청소년프로그램 동아리운영 등",9,063-236-7142
