개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
전주한벽문화관,,문화복합시설,,,,,,,,,,,239,,,,,전주시 완산구 전주천동로 20,전라북도 전주시 완산구 교동 7-1,,,063-280-7079,,,,2020-09-29
팔복예술공장,이팝나무홀,다목적실,매주 월요일,10시,18시,10시,18시,O,10시~18시,"4시간/200,000원",1시간,"1시간/30,000원",100~150명,약 350㎡,"빔프로젝터,냉난방시설",이메일접수,별첨,전주시 덕진구 구렛들 1길 46,전주시 덕진구 팔복동 1가 243-86,전주문화재단,운영지원팀,063-211-0288,www.palbokart.kr,,,2020-09-29
