구분,업소명,소재지(도로명),소재지전화번호,최신재지정일자,주된음식,데이터기준일자
46,전주옥정호,"전라북도 전주시 완산구 장교로 23-7 (평화동3가,외1필지)",,2019-11-22,"능이백숙,민물매운탕",2020-10-31
47,효자동아귀찜,전라북도 전주시 완산구 바우배기2길 23 (효자동2가),063 -236 -4642,2019-11-22,아구찜,2020-10-31
48,두거리우신탕효천점,전라북도 전주시 완산구 우전로 93 (효자동2가),063 -222 -1592,2020-03-09,갈비탕,2020-10-31
49,샤브향중화산점,"전라북도 전주시 완산구 강변로 284 (중화산동2가, 2층)",063 -226 -4445,2019-11-22,버섯샤브샤브,2020-10-31
50,연가,"전라북도 전주시 완산구 어은로 28, 2,3층 (중화산동2가)",063 -228 -3301,2019-11-22,버섯전골,2020-10-31
51,고궁담,"전라북도 전주시 완산구 유연로 170, 2-3층 (효자동3가)",063 -278 -3211,2019-11-22,비빔밥,2020-10-31
52,장수버섯마을,전라북도 전주시 완산구 영경1길 15 (중화산동2가),063 -227 -8184,2019-11-22,버섯전골,2020-10-31
53,양지본가,전라북도 전주시 완산구 장교마을길 48-32 (평화동3가),,2019-11-22,흑염소탕,2020-10-31
54,돔베초밥효천점,전라북도 전주시 완산구 장승배기로 2-27 (삼천동1가),--,2019-11-22,"초밥, 우동",2020-10-31
55,서가앤쿡(객사점),"전라북도 전주시 완산구 전주객사4길 44-10, 2층 (고사동)",,2019-11-22,"스파게티, 피자",2020-10-31
56,전주부븸온,전라북도 전주시 완산구 현무1길 20 (경원동3가),    - 282-9400,2019-11-22,비빔밥,2020-10-31
57,라라코스트(전북도청점),전라북도 전주시 완산구 홍산남로 73 (효자동3가),063 -228 -3230,2019-11-22,"피자,파스타",2020-10-31
58,쿠우쿠우(효자점),"전라북도 전주시 완산구 홍산남로 73, 401, 402호 (효자동3가)",063 - 222-6274,2019-11-22,뷔페,2020-10-31
59,호림이네,전라북도 전주시 완산구 춘향로 5152 (색장동),063 -285 -4007,2019-11-22,한정식,2020-10-31
60,하늘천숯불갈비전주혁신점,전라북도 전주시 완산구 콩쥐팥쥐로 1599 (상림동),063 -237 -0292,2020-01-09,삼겹살구이,2020-10-31
61,전주어신,전라북도 전주시 완산구 기린대로 221 (서노송동),,2019-11-22,"민물매운탕, 어죽",2020-10-31
62,다산돼지와낙지,전라북도 전주시 완산구 홍산북로 83-9 (효자동3가),,2019-11-22,양푼돼지갈비,2020-10-31
63,샹떼쥬르,"전라북도 전주시 완산구 마전4길 11-3 (효자동3가, 1층~3층)",063 -223 -7200,2019-11-22,"스파게티, 피자",2020-10-31
64,착한낙지,전라북도 전주시 완산구 천잠로 245 (효자동2가),    - 286-5678,2019-11-22,낙지볶음,2020-10-31
65,단풍미인한우 도청점,전라북도 전주시 완산구 홍산북로 55 (효자동3가),063 -533 -8533,2019-11-22,소고기 구이,2020-10-31
66,킹스대게(도청점),"전라북도 전주시 완산구 홍산남로 71, 2층 (효자동3가)",063 -224 -6998,2019-11-22,"킹크랩,랍스타",2020-10-31
67,종로상회 평화점,"전라북도 전주시 완산구 모악로 4721, 2층 (평화동2가)",063 -228 -8723,2019-11-22,삼겹살,2020-10-31
68,장가계손짜장,"전라북도 전주시 완산구 우림로 1033, 1층 (삼천동2가)",,2019-11-22,"탕수육, 자장면",2020-10-31
69,보쌈다온,"전라북도 전주시 완산구 홍산남로 29-29, 1-2층 (효자동2가)",,2019-11-22,보쌈,2020-10-31
70,경성반점,"전라북도 전주시 완산구 용산마을길 3, 1층 (삼천동2가)",,2019-11-22,"짜장, 짬뽕",2020-10-31
71,한양불고기,"전라북도 전주시 완산구 우전2길 6, 1층 (효자동2가)",,2019-11-22,불고기,2020-10-31
72,명가등심1호,"전라북도 전주시 완산구 석산1길 6-7, 1층 (효자동3가)",,2019-11-22,소고기,2020-10-31
73,구사일삼,"전라북도 전주시 완산구 풍남문3길 14, 1층 (전동)",,2019-11-22,"파스타, 돈까스",2020-10-31
74,아중고기마트 중화산점,"전라북도 전주시 완산구 한두평4길 6, 1,2층 (중화산동2가)",--,2019-11-22,소고기,2020-10-31
75,코다리명가 전주본점,"전라북도 전주시 완산구 공북로 101-3, 1층 (서노송동)",063 -256 -3001,2019-11-22,코다리조림,2020-10-31
76,형제골뼈다귀순대국,"전라북도 전주시 완산구 장승배기로 154, 존슨썬팅 1층 (평화동2가)",--,2019-11-22,순대국밥,2020-10-31
77,사랑오리,"전라북도 전주시 완산구 쑥고개로 241-6, 1~2층 (효자동2가)",063 -229 -8877,2019-11-22,오리주물럭,2020-10-31
78,소담촌전주효자점,"전라북도 전주시 완산구 홍산로 249, 대신빌딩 4층 (효자동2가)",063 -226 -4747,2019-11-22,"월남쌈, 샤브샤브",2020-10-31
79,오유민동태마을평화점,"전라북도 전주시 완산구 평화18길 3, 2층 (평화동1가)",--,2019-11-22,동태찌게,2020-10-31
80,풍남정 신관,"전라북도 전주시 완산구 팔달로 110-2, 1층 (전동)",--,2019-11-22,비빔밥,2020-10-31
81,한국소,"전라북도 전주시 완산구 유연로 5, E동 1~2층 (효자동3가)",063 -227 -9293,2019-11-22,소고기,2020-10-31
82,전주메밀,"전라북도 전주시 완산구 계룡산길 50, 1층 (삼천동2가)",--,2019-11-22,막국수,2020-10-31
83,명륜진사갈비중화산점,"전라북도 전주시 완산구 유연로 304, 1층 (중화산동2가)",--,2019-11-22,갈비,2020-10-31
84,서해해물칼국수,"전라북도 전주시 완산구 견훤왕궁로 63, 1층 (중노송동)",--,2019-11-22,해물칼국수,2020-10-31
85,늘채움,전라북도 전주시 덕진구 덕진연못3길 6 (덕진동2가),063 -272 -5737,2019-11-19,부대찌개,2020-10-31
86,한국관,전라북도 전주시 덕진구 기린대로 425 (금암동), 063- 272-9229,2019-11-19,비빔밥,2020-10-31
87,평양면옥,전라북도 전주시 덕진구 솔내8길 10-3 (송천동1가),063 -254 -5888,2019-11-19,냉면,2020-10-31
88,착한밥상,전라북도 전주시 덕진구 진버들3길 4-3 (인후동1가),063 -244 -2212,2019-11-19,버섯탕류,2020-10-31
89,감로헌,전라북도 전주시 덕진구 권삼득로 247 (금암동), 063-275 -8811,2019-11-19,약선음식,2020-10-31
90,도래지,전라북도 전주시 덕진구 백제대로 810 (우아동3가), 063- 241-3993,2019-11-19,복어탕,2020-10-31
91,해이루,전라북도 전주시 덕진구 명륜5길 9 (덕진동1가), 063- 272-1829,2019-11-19,감자탕,2020-10-31
92,천하장사,전라북도 전주시 덕진구 온고을로 546-1 (여의동), 063- 211-0061,2019-11-19,비빔밥,2020-10-31
93,콩각시굴신랑,전라북도 전주시 덕진구 숲정이5길 11 (진북동), 063- 278-1378,2019-11-19,콩나물국밥,2020-10-31
94,아중도토리묵촌,전라북도 전주시 덕진구 동부대로 381 (우아동1가), 063- 244-1233,2019-11-19,토토리묵,2020-10-31
95,고궁,전라북도 전주시 덕진구 송천중앙로 33 (덕진동2가), 063- 251-3211,2019-11-19,전주비빔밥,2020-10-31
96,채선당아중점,전라북도 전주시 덕진구 아중로 127 (인후동1가), 063- 242-2952,2019-11-19,"샤브샤브, 월남쌈",2020-10-31
97,대게나라아중점,전라북도 전주시 덕진구 아중로 139 (인후동1가), 063- 241-2333,2019-11-19,대게찜,2020-10-31
98,족발야시장 아중점,전라북도 전주시 덕진구 아중로 189 (인후동1가),063 -242 -4969,2019-11-19,족발,2020-10-31
99,남원요천추어탕,전라북도 전주시 덕진구 백제대로 695 (인후동2가),063 -244 -5161,2019-11-19,추어탕,2020-10-31
100,백자원,전라북도 전주시 덕진구 백제대로 702 (인후동2가),063 -246 -1405,2019-11-19,짜장면,2020-10-31
101,아리랑하우스,전라북도 전주시 덕진구 한배미1길 29 (인후동1가), 063- 241-9301,2019-11-19,소고기,2020-10-31
102,초원갈비,전라북도 전주시 덕진구 동부대로 651 (우아동3가), 063- 242-8811,2019-11-19,"갈비탕, 찜",2020-10-31
103,겐돈소바,전라북도 전주시 덕진구 동가재미3길 50 (인후동1가), 063- 246-2585,2019-11-19,소바,2020-10-31
104,하누마을,전라북도 전주시 덕진구 아중3길 21 (우아동2가), 063- 245-8292,2019-11-19,소고기구이,2020-10-31
105,유한회사갑기원,전라북도 전주시 덕진구 상리로 50 (팔복동2가),063 -212 -5766,2019-11-19,비빔밥,2020-10-31
106,일등병부대찌개,전라북도 전주시 덕진구 백제대로 676 (금암동), 063- 254-8885,2019-11-19,부대찌개,2020-10-31
107,바다꽃게탕본점,전라북도 전주시 덕진구 아중1길 13-1 (우아동2가), 063- 244-3188,2019-11-19,꽃게탕,2020-10-31
108,화심장어아중점,전라북도 전주시 덕진구 인교9길 21-14 (우아동1가),063 -245 -6592,2019-11-19,장어구이,2020-10-31
109,전주영양돌솥밥,전라북도 전주시 덕진구 솔내8길 10-1 (송천동1가),063 -253 -1130,2019-11-19,돌솥밥,2020-10-31
110,고기명가수라간,전라북도 전주시 덕진구 기린대로 1016 (여의동), 063- 212-1475,2019-11-19,소고기구이,2020-10-31
111,석기시대,"전라북도 전주시 덕진구 붓내3길 17-5, 1층 (송천동2가)", 063- 272-3331,2019-11-19,삼겹살,2020-10-31
112,쭈꾸미신화,전라북도 전주시 덕진구 동가재미2길 16 (인후동1가), 063- 245-1720,2019-11-19,쭈꾸미볶음,2020-10-31
113,청마루뼈다귀,전라북도 전주시 덕진구 삼거1길 60 (금상동), 063- 241-7001,2019-11-19,감자탕,2020-10-31
114,현대옥송천농수산시장점,"전라북도 전주시 덕진구 송천중앙로 233-20 (송천동2가, 외1필지)", 063- 276-0099,2019-11-19,콩나물국밥,2020-10-31
115,벼락,전라북도 전주시 덕진구 명륜4길 18-3 (덕진동1가), 063- 254-7986,2019-11-19,냉면,2020-10-31
116,오리명가,전라북도 전주시 덕진구 초당길 11 (호성동1가), 063- 254-5293,2019-11-19,오리코스요리,2020-10-31
117,장어야놀자,전라북도 전주시 덕진구 두간로 54 (송천동1가),063 -271 -0592,2019-11-19,장어구이,2020-10-31
118,삼초삽삼겹살,전라북도 전주시 덕진구 아중로 126 (인후동1가), 063- 243-5639,2019-11-19,삼겹살,2020-10-31
119,무안낙지,전라북도 전주시 덕진구 동부대로 811 (호성동1가), 063- 247-3661,2019-11-19,연포탕,2020-10-31
120,만석군,전라북도 전주시 덕진구 기린대로 718-3 (팔복동1가), 063- 214-9778,2019-11-19,고기류,2020-10-31
121,자금성,전라북도 전주시 덕진구 송천중앙로 222 (송천동2가), 063- 277-9965,2019-11-19,자장면,2020-10-31
122,해궁,전라북도 전주시 덕진구 송천중앙로 235 (송천동2가),063 -275 -1400,2019-11-19,활어회,2020-10-31
123,오박사동태탕찜,전라북도 전주시 덕진구 송천중앙로 230 (송천동2가), 063- 228-8011,2019-11-19,동태찌개,2020-10-31
